image,with_mask,without_mask,with_incorrect_mask
0001,1,0,0
0002,1,1,1
0003,1,0,0
0004,1,0,0
0005,2,0,0
0006,1,0,0
0007,1,0,0
0008,1,0,0
0009,0,0,1
0010,1,0,0
0011,0,0,1
0012,0,0,1
0013,0,0,1
0014,0,0,1
0015,2,0,0
0016,1,0,0
0017,0,0,1
0018,1,0,1
0019,3,0,0
0020,1,0,0
0021,2,0,0
0022,0,1,0
0023,0,1,0
0024,1,0,0
0025,1,0,0
0026,1,0,0
0027,0,1,0
0028,0,1,0
0029,2,1,1
0030,1,0,0
0031,1,0,0
0032,3,0,0
0033,5,0,0
0034,0,0,1
0035,0,0,1
0036,0,0,1
0037,1,1,0
0038,0,0,1
0039,0,2,0
0040,0,1,0
0041,1,0,2
0042,0,1,0
0043,0,0,1
0044,0,0,1
0045,0,1,0
0046,0,1,0
0047,0,1,0
0048,0,0,1
0049,0,1,2
0050,0,0,1
